AGE,Survey
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
18,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
19,(1) NCSR
